Starting pid: 20256@DESKTOP-5SNUBJS
GC name:Copy
GC name:MarkSweepCompact
new size:2000000
start:169357 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(89 ms)
start:170161 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(90 ms)
start:170954 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(99 ms)
start:171743 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(90 ms)
start:172525 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(99 ms)
start:173340 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(92 ms)
start:174137 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(112 ms)
start:174943 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(93 ms)
start:175724 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(80 ms)
start:176511 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(90 ms)
start:177491 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(117 ms)
start:178448 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(92 ms)
start:179223 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(95 ms)
start:179989 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(89 ms)
start:180753 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(86 ms)
start:181543 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(97 ms)
start:182333 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(101 ms)
start:183123 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(96 ms)
start:183918 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(83 ms)
start:184671 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(76 ms)
start:185461 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(87 ms)
start:186217 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(89 ms)
start:187017 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(98 ms)
start:187813 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(93 ms)
start:188595 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(85 ms)
start:189375 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(107 ms)
start:190215 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(99 ms)
start:190986 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(102 ms)
start:191756 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(89 ms)
start:192549 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(80 ms)
start:193328 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(99 ms)
start:194125 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(89 ms)
start:194925 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(90 ms)
start:195700 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(92 ms)
start:196567 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(102 ms)
start:197396 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(97 ms)
start:198151 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(104 ms)
start:198946 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(99 ms)
start:199706 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(82 ms)
start:200489 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(76 ms)
start:201239 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(94 ms)
start:202064 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(105 ms)
